College_ID,Rank,University_name,Year,CS_Overall_Score,CS_Academic_Reputation,CS_Employer_Reputation,CS_Citations_Per_Paper,CS__Index_Citations,CS_International_Research,Location,Country
1615,351-400,Universidade Federal de Pernambuco (UFPE) ,2021,#DIV/0!,null,null,null,null,, Recife ,
1616,351-400,Ca' Foscari University of Venice ,2021,#DIV/0!,null,null,null,null,, Venice ,
1617,351-400,Bocconi University,2021,81.6,null,81.6,null,null,, Milan ,
1618,351-400,"University of Rome ""Tor Vergata""",2021,#DIV/0!,null,null,null,null,, Rome ,
1619,351-400,University of Turin,2021,#DIV/0!,null,null,null,null,, Turin ,
1620,351-400,Goethe-University Frankfurt am Main,2021,#DIV/0!,null,null,null,null,, Frankfurt ,
1621,351-400,University of Bordeaux,2021,#DIV/0!,null,null,null,null,, Talence ,
1622,351-400,Université de Montpellier,2021,#DIV/0!,null,null,null,null,, Montpellier ,
1623,351-400,Université de Rennes 1,2021,#DIV/0!,null,null,null,null,, Rennes ,
1624,351-400,Université Paris 1 Panthéon-Sorbonne ,2021,72.3,null,72.3,null,null,, Paris ,
1625,351-400,USI - Università della Svizzera italiana,2021,89.4,null,null,89.4,null,, Lugano ,
1626,351-400,University at Buffalo SUNY,2021,#DIV/0!,null,null,null,null,, Buffalo ,
1627,351-400,University of Bern,2021,#DIV/0!,null,null,null,null,, Bern ,
1628,351-400,University of Central Florida,2021,#DIV/0!,null,null,null,null,, Orlando ,
1629,351-400,University of Delhi,2021,#DIV/0!,null,null,null,null,, New Delhi ,
1630,351-400,University of Electronic Science and Technology of China,2021,87,null,null,null,87,, Chengdu ,
1631,351-400,University of Kent,2021,#DIV/0!,null,null,null,null,, Paris ,
1632,351-400,University of Limerick,2021,#DIV/0!,null,null,null,null,, Limerick ,
1633,351-400,University of Ljubljana,2021,#DIV/0!,null,null,null,null,, Ljubljana ,
1634,351-400,University of Macau,2021,89.4,null,null,89.4,null,, nullMacau SAR,
1635,351-400,University of Milano-Bicocca ,2021,#DIV/0!,null,null,null,null,, Milan ,
1636,351-400,University of Science and Technology Beijing,2021,#DIV/0!,null,null,null,null,, Beijing ,
1637,351-400,University of Strathclyde,2021,#DIV/0!,null,null,null,null,, Glasgow ,
1638,351-400,University of Tartu,2021,#DIV/0!,null,null,null,null,, Tartu ,
1639,351-400,The University of Tennessee Knoxville,2021,85.15,null,null,87.9,82.4,, Knoxville,
1640,351-400,University of Utah,2021,85.6,null,null,85.6,null,, Salt Lake City ,
1641,351-400,Vanderbilt University,2021,#DIV/0!,null,null,null,null,, Nashville ,
1642,351-400,Vellore Institute of Technology (VIT) VelloreIndia,,,,,,,,,
1643,351-400,WU (Vienna University of Economics and Business),2021,#DIV/0!,null,null,null,null,, Vienna ,
1644,401-450,Alexandria University ,2021,#DIV/0!,null,null,null,null,, Alexandria ,
1645,401-450,American University of Sharjah,2021,#DIV/0!,null,null,null,null,, Sharjah ,
1646,401-450,Aston University,2021,#DIV/0!,null,null,null,null,, Birmingham ,
1647,401-450,Auckland University of Technology (AUT),2021,#DIV/0!,null,null,null,null,, Auckland ,
1648,401-450,Ben-Gurion University of The Negev,2021,#DIV/0!,null,null,null,null,, Be'er Sheva ,
1649,401-450,Birla Institute of Technology and Science Pilani,2021,#DIV/0!,null,null,null,null,, Pilani,
1650,401-450,City University of London,2021,#DIV/0!,null,null,null,null,, London,
1651,401-450,Eberhard Karls Universität Tübingen,2021,#DIV/0!,null,null,null,null,, Tübingen ,
1652,401-450,Florida International University,2021,#DIV/0!,null,null,null,null,, Miami ,
